"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ADBL","2024-01-25","244.5","247","244.5","245.1","-0.16 %","35,252.00"
"ADBL","2024-01-24","245","247","242.3","245.5","0.12 %","25,650.00"
"ADBL","2024-01-23","242.1","246.9","242.1","245.2","0.49 %","21,982.00"
"ADBL","2024-01-22","243","248","243","244","0.04 %","45,887.00"
"ADBL","2024-01-21","247","248.2","243.4","243.9","-1.26 %","48,190.00"
"ADBL","2024-01-18","246","250","243.1","247","0.00 %","29,336.00"
"ADBL","2024-01-17","247.2","251","245","247","0.08 %","76,378.00"
"ADBL","2024-01-16","245.9","252","245","246.8","0.37 %","43,763.00"
"ADBL","2024-01-14","246.1","247","243.7","245.9","0.37 %","25,759.00"
"ADBL","2024-01-11","244.1","246.1","242.5","245","0.00 %","13,027.00"
"ADBL","2024-01-10","245","248","244","245","-0.04 %","31,999.00"
"ADBL","2024-01-09","248","248","243.1","245.1","0.57 %","29,582.00"
"ADBL","2024-01-08","248","248","241","243.7","0.12 %","15,763.00"
"ADBL","2024-01-07","245","246","241","243.4","-0.65 %","39,659.00"
"ADBL","2024-01-04","247","249.9","244","245","-0.77 %","30,433.00"
"ADBL","2024-01-03","248","248","243.1","246.9","-0.64 %","17,254.00"
"ADBL","2024-01-02","249","249","245","248.5","-0.16 %","34,706.00"
"ADBL","2024-01-01","251","251","246.2","248.9","0.77 %","33,313.00"
"ADBL","2023-12-28","249","249.9","245.3","247","-1.04 %","19,671.00"
"ADBL","2023-12-27","258.5","258.5","248.5","249.6","-1.54 %","15,367.00"
"ADBL","2023-12-24","259","260","253.1","253.5","-0.98 %","44,028.00"
"ADBL","2023-12-21","261","264","255.3","256","-2.03 %","39,429.00"
"ADBL","2023-12-20","256","267.2","256","261.3","0.11 %","57,332.00"
"ADBL","2023-12-19","250","262.2","250","261","3.98 %","62,432.00"
"ADBL","2023-12-18","250","255","247","251","1.01 %","44,779.00"
"ADBL","2023-12-17","243.1","249.8","243.1","248.5","0.20 %","25,584.00"
"ADBL","2023-12-14","242.6","249","242.6","248","0.53 %","13,670.00"
"ADBL","2023-12-13","250.3","251.5","246","246.7","0.53 %","31,055.00"
"ADBL","2023-12-12","246.2","252","242","245.4","-0.24 %","68,084.00"
"ADBL","2023-12-11","253.4","258","245","246","-1.01 %","36,977.00"
"ADBL","2023-12-10","243.7","248.5","243.7","248.5","3.97 %","60.00"
"ADBL","2023-12-07","236.1","240.5","236.1","239","1.27 %","16,898.00"
"ADBL","2023-12-06","240","240","235.1","236","-0.84 %","10,646.00"
"ADBL","2023-12-05","239.9","240","236","238","-0.83 %","10,287.00"
"ADBL","2023-12-04","236","243","236","240","0.42 %","7,552.00"
"ADBL","2023-12-03","236.6","242.9","236.6","239","0.00 %","14,293.00"
"ADBL","2023-11-30","240","241","238","239","-1.16 %","10,214.00"
"ADBL","2023-11-29","242","245","240.1","241.8","-0.08 %","9,876.00"
"ADBL","2023-11-28","245","245","240.2","242","-0.82 %","8,124.00"
"ADBL","2023-11-27","240","245.1","240","244","0.83 %","13,748.00"
"ADBL","2023-11-26","240.5","246","240.1","242","-1.22 %","15,023.00"
"ADBL","2023-11-23","245","269.5","240.2","245","0.00 %","6,824.00"
"ADBL","2023-11-22","238","245","238","245","2.51 %","8,661.00"
"ADBL","2023-11-21","239.6","239.9","235","239","-0.25 %","12,618.00"
"ADBL","2023-11-20","244","248.5","239.6","239.6","-1.80 %","13,280.00"
"ADBL","2023-11-09","241.6","245.9","241","244","-1.01 %","10,046.00"
"ADBL","2023-11-08","244","246.9","240.3","246.5","1.02 %","8,644.00"
"ADBL","2023-11-07","248.9","248.9","242","244","-0.41 %","28,233.00"
"ADBL","2023-11-06","240","253.2","236.1","245","1.70 %","36,331.00"
